source	time	person	location	organization	miscellaneous
thenews	2015-12-07T00:00:00	Emmanuel Ibe Kachikwu saidOPEC|Brent|thereSanjeev Gupta	China|US|Asia|Vienna|Singapore	the Federal Reserve|AsiaPacific|the Organization of the Petroleum Exporting Countries|West Texas Intermediate|IG Markets|Federal Reserve|EY|Fed|OPEC	countries|emmanuel|china|federal|dollarpriced|decide|cents|ey|demand|firm
thenews	2015-12-08T00:00:00			K Electric|National Electric Power Regulatory Authority|KARACHI K Electric	adjustment|distributors|decrease|karachi|country|announced|applicable|august|authority|bills
thenews	2015-12-08T00:00:00	marketsOn|Larry Hu|Michael McCarthy|Malaysias|Brent|Hideo Kumano	China|Hong Kong Oil|Tokyo|West Texas Intermediate|Rio Tinto|Washington|Sydney|Inpex|Hong Kong|yenNew York|US|Shanghai|Chinas	closeLondon  FTSE|the Organization of the Petroleum Exporting Countries|PetroChina|JX Holdings|Macquarie Securities|goldAnother|BHP Billiton|JulySeptember|Italys Eni|CMC Markets|Eurodollar UP|figuresThe|ExxonMobil Frances|Bloomberg NewsCommoditylinked|China Economics|Woodside|Daiichi Life Research Institute|Kong  Hang Seng|Oil Search	australian|china|economics|bigger|bickering|aggregate|focus|continued|battered|benchmark
thenews	2015-12-09T00:00:00	Adil Ahmed  Director Symmetry Group|Sarocsh Ahmed|Iris Digital	the Campaign South Asia Awards|Pakistan	the Digital Agency|Symmetry Digital|Iris Digital|Symmetry Group|the Campaign South Asias Agency|KARACHI Symmetry Digital|Group	consumers|created|business|challenging|deliver|believe|award|asias|amp|campaign
thenews	2015-12-09T00:00:00	Evan Lucas|Brent	Tokyo|China|Beijings|Hong Kong|Inpex|Sydney|Melbourne|Taipei Singapore|Kuala Lumpur|yenNew York|territoryShanghai|US|Hong Konglisted CNOOC|Chinas	closeLondon  FTSE|Eurodollar UP|Kong  Hang Seng|redTokyo|Bloomberg News|West Texas Intermediate|IG Ltd|BHP Billiton|TuesdayDollaryen|OPEC|Bloomberg NewsThe	anglo|clients|beijings|breakhong|ceiling|chinas|according|downturn|bloomberg|closelondon
thenews	2015-12-10T00:00:00	Brent|Sanjeev Gupta	the Asia Pacific|Singapore|US|Asia	West Texas Intermediate|dollarpriced oil|unchangedInvestors|EY|Fed|the Department of Energy|BMI Research|OPEC|lowsAnalysts	currency|bmi|club|economythere|bank|cut|asia|dollarpriced|barrels|dollar
thenews	2015-12-11T00:00:00	Brent|GKFX|James Hughes	Frankfurt|Paris|Tokyo|Hong Kong|US|London|New York|Shanghai|Chinas	IEA|CNOOC|PetroChina|Dow Jones|the International Energy Agency|SampP|BP|West Texas Intermediate|FTSE|CAC|Dow Chemical|Fed|London Global|Hughes|Royal Dutch Shell|the techrich Nasdaq Composite|the US Federal Reserve|ThursdayDollaryen UP|AFP|DuPont|Shells|Organization of the Petroleum Exporting Countries|pointsFrankfurt|OPEC	american|bargainbuying|end|anglo|fed|benchmark|ftse|asian|analysts|equities
thenews	2015-12-12T00:00:00	SBP Saeed Ahmed|Iftikhar Ali Malik|Irfan Siddiqui|Ishaq Dar|Mian Mansha|AlBarka Bank|Meezan|Shafaat Ahmed|NBP Ashraf Iqbal|Ashraf Wathra|Sarmad Ali|SAARC Chamber	Pakistan	Commercial Bank|State Bank|National Bank of Pakistan|MD Jang Group|LAHORE Federal Finance|Jang Group of Companies	ahmed|carry|dar|conference|companies|commercial|claimed|chamber|banking|bank
thenews	2015-12-13T00:00:00	Ghiyas Paracha|Paracha	Russia|China|UAE|US|Singapore	ISLAMABAD International|Pakistan CNG Association APCNGA|LNG	explore|crisis|confidence|december|energy|cuts|import|burden|capacity|chairman
thenews	2015-12-14T00:00:00	Esquire Elle Cosmopolitan|Santos|Guo Guangchang|Warren Buffett|Hong Konglisted CNOOC|Ric Spooner	Hong Kongs|Tokyo|Hong Kong|Rio Tinto|Sydney|Inpex|Alibaba|yenNew York|US|Asia|Shanghai	closeLondon  FTSE|SCMP|Kong  Hang Seng|offHowever CMC Markets|Sinopec|Federal Reserve|ChinaSCMP Group|JX Holdings|ChinaAnd|BHP Billiton|nowAdding|Harpers BazaarAlso|Konglisted|OPEC|Fosun International|SCMP Group	analysis|china|bhp|authorities|demand|cmc|climate|bazaaralso|announced|conglomerate
thenews	2015-12-15T00:00:00	Brent	Singapore|US|New York|Iran	West Texas Intermediate|OPEC|ChinaAlso	anticipated|february|awash|crisisted|downward|ahead|barrel|coming|commodity|correction
thenews	2015-12-16T00:00:00	Angus Nicholson|Janet Yellen|Elias Haddad	Tokyo|Melbourne|US|New York|dropsThe|Singapore	Bloomberg NewsWe|Feds|Swiss Francs|Federal Reserve|Commonwealth Bank of Australia|New YorkWhile|IG Ltd|Fed|the Federal Open Market Committee	economy|feds|gauge|benchmark|analysts|dropsthe|central|excludes|decadethe|december
thenews	2015-12-17T00:00:00	Janet Yellen|Sanjeev Gupta|Brent|Bloomberg|Kang Yoo Jin	Singapore|US|Asia	the Federal Reserve|currenciesHowever|West Texas Intermediate|economyWhile|NH Investment amp Securities|the US Department of Energy|EY|the AsiaPacific Oil and Gas|OPEC	currencieshowever|commodity|added|export|benchmark|contract|economywhile|downward|despite|current
thenews	2015-12-18T00:00:00	Brent|Genscape	Tokyo|Cushing Oklahoma|West Texas Intermediate|US|the United States	Federal Reserves|ThursdayThat|the US Energy Information Administration EIA|ThursdayBrent LCOc|ThursdayBoth	clc|administration|analysts|contracts|brent|amid|fresh|expectations|global|came
thenews	2015-12-19T00:00:00	Michael Hewson|David Levy|Merval	Frankfurt|Paris|Japan|Europe|US|New York|London|Argentina	closeLondon  FTSE|New York Global|CMC Markets UK Oil|closeTokyo  Nikkei|Disney|Nomura Securities|JPMorgan Chase Procter amp Gamble|New York ThursdayDollaryen|SampP|closeFrankfurt|Dow|Fed|Microsoft|Federal Reserves|the Federal Reserve|Apple Boeing|Bank of Japan|Kenjol Capital Management|the US Federal Reserve|Japans Nikkei|Disneys ESPN|closeParis  CAC	analyst|ahead|expected|apple|awakens|blockbuster|boeing|came|frankfurt|big
thenews	2015-12-21T00:00:00	Baker|Brent|Gupta|Sanjeev Gupta	Singapore|US|Asia	West Texas Intermediate|OPEC|the AsiaPacific Oil|EY	ey|despite|impacting|ending|friday|crude|head|cents|february|benchmark
thenews	2015-12-21T00:00:00	Ishaq Dar		PIA|ISLAMABAD Federal Finance|Pakistan International Airlines PIA	dar|action|announced|expanded|airlines|carrier|committee|company|country|emergency
thenews	2015-12-22T00:00:00	MondayHoldings|Dennis Lockhart|James SteelA	US|NovemberThe	the United StatesWhile|Gold Trust|Atlanta Fed|the Chicago Federal Reserve|HSBC|Fed|SINGAPORE Gold	bank|data|fell|grew|coming|big|commodity|declines|followed|demand
thenews	2015-12-23T00:00:00	Ray Attrill cohead	Hong Kong|Sydney|the South Korean|US|New York|Asia|New Zealand	the Federal Reserve|higherrisk|Feds|Fed|National Australia Bank|Bloomberg NewsIf	emerging|hong|baht|exposure|costs|federal|demand|asia|cohead|central
thenews	2015-12-24T00:00:00	Bloomberg NewsSeasonally|Brent|Hong Sung Ki	Seoul|Cushing Oklahoma|West Texas Intermediate|US|Asia|Singapore	Samsung Futures Inc|the US Department of Energy|homeConcerns	ahead|analysts|cheered|financial|closely|fall|climbed|energy|endat|easing
thenews	2015-12-26T00:00:00	Ishaq Dar	Pakistan	Sukuk|Directorate General of Training and Research Inland Revenue|FBR|Pak|PML N|LAHORE Federal Finance	economy|countrys|discretionary|added|committed|bring|ceremony|finance|country|citing
thenews	2015-12-28T00:00:00	Ishaq Dar|Benazir	Pakistan|Karachi	KARACHI Federal Finance|the th FPCCI Export Award	antiterrorism|energy|income|collection|dar|countrys|country|commended|come|ceremony
thenews	2015-12-28T00:00:00	Hindi bin Abdullah|Suhaimi|Salman|Saudi Arabias		the Council of Economic and Development Affairs|State	fell|bonus|advisor|affairs|arabias|circumstances|figure|acceptable|accession|afternoon
thenews	2015-12-28T00:00:00	safehaven	Japan|Australia|Hong KongEarly|Europe|US	AsiaPacific|GMTSilver|Japans Nikkei|SPDR Gold Trust|SINGAPORE Gold|inflationThe	boosting|bearish|close|earlier|equities|demand|friday|dropped|crude|failed
thenews	2015-12-28T00:00:00	Brent|weekTrading	Russia|Japan|India|US|TOKYO|Asia	MondayThe|the BP Statistical Review of World Energy|the Organization of the Petroleum Exporting Countries|JX Nippon Oil amp Energy Corp|JX Holdings Inc|Singaporebased Phillip Futures|OPEC|Texas Intermediate	christmas|consumer|following|decline|global|energy|business|developed|accelerated|crude
thenews	2015-12-29T00:00:00		Pakistan	ISLAMABAD|Federal Board of Revenue FBR	filers|board|filing|federal|compared|fbr|facility|ereturn|climbed
thenews	2015-12-29T00:00:00		Pakistan	ISLAMABAD|State Bank of Pakistan Banking Services Corporation	banks|bank|commercial|closing|closed|carried|banking|annual
thenews	2015-12-29T00:00:00	NEPRA|NovemberNEPRA		ISLAMABAD National Electric Power Regulatory Authority|Central Power Purchasing Agency|KElectric	central|application|course|agency|curtailed|approved|electricity|electric|domestic|cppaaccording
thenews	2015-12-29T00:00:00	Brent|Kathy Lien	Tokyo|Japan|US|New Zealand|South Koreas	the Federal Reserve|AsiaPacific|BK Asset ManagementThe Australian dollar|Dow|USDCAD|Fed|SampP	bk|dollar|cooled|counterpart|dragging|currency|broadest|canadian|earlier|asset
thenews	2015-12-30T00:00:00	Muhammad Nawaz Sharif|Dar|Mohammad Ishaq Dar	ISLAMABAD	the Steel MillsHe|Pakistan International Airlines PIA|the Steel Mills|Sindh Government|Zarb e Azb	countryreplying|added|airlines|continue|action|addedto|azb|banned|bring|carrier
thenews	2015-12-30T00:00:00		Pakistan	APP|EXIM Bank|exportersHe|Trade Development Authority|the Commerce Ministry|ISLAMABAD The Ministry of Commerce	commerce|carry|facilitation|framework|authority|forward|dltl|competitive|export|benefits
thenews	2015-12-30T00:00:00	Christine Lagarde		Handelsblatt|the International Monetary Fund|IMF|WednesdayIn|BERLIN Global	disappointing|growth|crisis|ageing|article|berlin|brakes|christine|countries|director
thenews	2015-12-30T00:00:00	Brent	Russia|Europe|US|Asia|SINGAPORE|the United States	Thomson Reuters|the Organization of the Petroleum Exporting Countries|Eikon	countries|asia|drop|barrels|celsius|eikon|daymore|brent|buoy|cold
thenews	2016-01-01T00:00:00	Brent|Bjarne Schieldrop|John Kilduff	Russia|Canada|Middle East|United States|West Texas Intermediate|Louisiana|the Midwestern United States|Saudi Arabia|Venezuela|Europe|US|Asia|Oslo|Vienna|Chinas|the Northern Hemisphere|New YorkBrent|Illinois	El Nio|SEB|clearGlobal|the oncepowerful|Again Capital|Goldman Sachs|Stanley|Middle EastAnalysts|Organization of the Petroleum Exporting Countries|TehranRussia|OPEC	available|benchmark|aggressive|arabia|cut|dec|active|brent|accelerated|acknowledging
thenews	2016-01-02T00:00:00	Qamar Zaman Chaudhry	Pakistan	Rental Power Project|NAB|SaturdayThe NAB|governanceThe Planning Commission|SOP|ISLAMABAD National Accountability Bureau NAB	directives|goals|development|complaint|filed|chairman|date|chapter|cases|caseduring
thenews	2016-01-04T00:00:00	Khawaja Asif	ISLAMABAD		asif|billion|consumption|band|benefit|december|debt|khawaja|cent|annual
thenews	2016-01-04T00:00:00	Muhammad Iqbal|Aqeel Karim Dhedhi|Muhammad Fareed Alam  CEO|Tariq Adam Ghumra		AKD Group|the AKD Group|KARACHI Federal Investigation Agency|Karachi Press Club|FIA	adam|dhedhi|custody|conference|club|charges|chairman|ceo|causing|arrest
thenews	2016-01-04T00:00:00	Brent|Riyadhs	Russia|Arabia|Saudi Arabia|the United States|Iran	SINGAPORE Oil|Middle Eastern|the Organization of the Petroleum Exporting Countries|West Texas Intermediate|barrelOil|MondayDespite|TehranThe|Phillip Futures	crudes|comes|climbed|demand|cleric|day|data|cut|crude|crisis
thenews	2016-01-05T00:00:00	slowdownPOLICY WATCHPolicymakers|Stefan Ingves	China|Japan|Shenzhen|Australias|the Middle East|US|Asia|Shanghai	AsiaPacific|MondayOil|Japans Nikkei|CSI|concernInvestors|Citi|institutionsUnder|LCOc|Peoples Bank of China|Dow|Nasdaq|noteGlobal|Riksbank|European Central Bank|SampP	aid|analysts|flat|asia|asiapacific|broadest|china|bounce|bond|dive
thenews	2016-01-06T00:00:00	SBP Ashraf Wathra	provincesHe	United Nations Security Council|the National Counterterrorism Authority|ISLAMABAD The State Bank|SBP	financing|credit|governor|hundithe|conference|activities|added|adopted|allegedly|ashraf
thenews	2016-01-06T00:00:00	Michael Hewson|Hewson|Carsten Fritsch|Saudi Arabias	Russia|China|Tehran|India|Saudi Arabia|US|Chinas|the United States|Iran	analystsThe US Energy Information Administration EIA|Reuters|Commerzbank|liftedShale|CMC MarketsEvidence|Peoples Bank of China|GMTSome|LONDON Oil|momentHe|OPEC	analyststhe|deal|economic|added|analysts|actual|cuts|factory|eia|chief
thenews	2016-01-06T00:00:00	AprilKathy Lien	Canadas|China|Japan|Saudi Arabia|US|TOKYO|Asia|Shanghai|South Koreas	IranRelations|AsiaPacific|Japans Nikkei|IranSaudi|FX|BK Asset Management	asian|continue|bucked|arresting|barrel|executed|changed|bought|continued|deeper
thenews	2016-01-06T00:00:00	Nimr	Tehran|Riyadh|Saudi Arabia|Gulf|LONDON|Vienna|Iran	OPEC|Reuters	anytime|decadesthe|exporter|consuming|country|condition|curbs|anonymity|annual|irans
thenews	2016-01-07T00:00:00	economiesGiven	Russia|China|Brazil|India|US|JuneOf|South Africa|the United States	the World Bank|BRICS|United StatesGlobal|The World Bank	activity|economy|brics|concern|developed|economic|compared|estimate|economiesgiven|earlier
thenews	2016-01-07T00:00:00	Brent	Russia|China|Middle East|Saudi Arabia|US|Asia|the United States West|North America|SINGAPORE|Chinas|Iran	ANZ bank saidThe|the Organization of the Petroleum Exporting Countries|GMTAnalysts|generationGlobal|GMTTraders|OPEC	cheap|coordinated|actually|edged|bank|east|exporting|especially|countries|benchmark
thenews	2016-01-08T00:00:00			State Bank of PakistanRemittances|KARACHI	billion|bank|exchange|ending|compared|according|abroad
thenews	2016-01-08T00:00:00		China|Ecuador|Beijing|Middle East|US|OPECs smallest|Chinas	FridayWith|risen  cents|ANZ|SEOUL Global|JuneOil	cents|amid|chinas|aggravating|circuit|china|crude|currency|deactivated|debt
thenews	2016-01-09T00:00:00	Bucky Hellwig|Richard Scalone|panEuropean FTSEurofirst|Chicagobased|Andrew Slimmon|percentEurope	China|ThursdayThe|Beijing|the United StatesBrent|US	Treasury|Morgan Stanley Investment Management|Wealth Management|TJM Brokerage|CBOE|the weekGoldman Sachs|US Treasury|ChicagoPeople|Birmingham AlabamaIn|SampP	august|bucky|gave|concerns|barrel|climbed|days|beginning|global|asian
thenews	2016-01-10T00:00:00	Zahid Hamid		Pakistan International Airlines PIA|PIA NA|ISLAMABAD The National Assembly NA Special Committee|the Parliament House|MondayFederal|PIAs|Privatization Commission	brief|briefing|assembly|airlines
thenews	2016-01-11T00:00:00		Kuwait|Oman|Switzerland|Australia|Canada|Japan|Norway|Saudi Arabia UAE|Qatar|UK|Bahrain	European Union|ISLAMABAD Overseas	december|amounted|country|countries|compared|added|details|cooperation|canada|billion
thenews	2016-01-11T00:00:00	Ishaq Dar	Islamabad|Karachi Lahore|Lahore	ISLAMABAD Pakistan stock Exchange PSX|the Karachi Stock Exchange|Pakistan Stock Exchange Limited|PSX	dar|formally|bourses|formed|foreign|finance|exchangethe|exchanges|exchange|dignitaries
thenews	2016-01-11T00:00:00	Ronald Leung|safehaven	Beijing|Beijings|US|tooChina|Chinas	the safehaven yen|Lee Cheong Gold Dealers Ltd|nineweek|the China Securities Journal|Holdings|currenciesSilver|SINGAPORE Gold|New Yorklisted SPDR Gold Shares	arabiairan|authorities|currenciessilver|dollardenominated|adding|asian|china|close|concerns|dollar
thenews	2016-01-12T00:00:00			K Electrics|the K Electric|the National Electric Power Regulatory Authority|KARACHI K Electric|paisa	electrics|electricity|decision|filed|electric|cost|conducting|come|born|billion
thenews	2016-01-12T00:00:00	midTrading|Brent	SINGAPORE|US	fallsAnalysts|MondayA|Barclays|Societe Generale|saidWe|Barclays Macquarie Bank of America Merrill Lynch Standard Chartered|Standard Chartered	bearish|bbl|brent|beginning|crude|addedbut|analysts|began|cut|expect
thenews	2016-01-13T00:00:00	safehaven	nearoneyear|China|Japan|Beijing|US	percentLikewise lowrisk|the Japanese yen|AsiaPacific|Reuters|CSI|Emini|SampP	attempts|debt|deep|disinflation|analysts|barrier|fell|analyst|asiapacific|basket
thenews	2016-01-14T00:00:00	Brent|Ben le Brun	TOKYO|Iran	SydneyThe|United Nations|OptionsXpress|Texas Intermediate	day|friday|economic|awash|bit|confirm|crude|days|hay|acting
thenews	2016-01-15T00:00:00	Brent|Tony Nunan Oil|Tehrans	US|TOKYO|Iran	Iran Phillip Futures|UN|ThursdayAny|FridayIt|Mitsubishi Corp|TokyoIran|Texas Intermediate	corp|country|add|additional|adds|consecutive|fuel|core|expected|fell
thenews	2016-01-16T00:00:00	Travis Kalanick|Modis|Narendra Modi|governmentorganised|Modi	Silicon Valley|New Delhi|China|Indias|India|NEW DELHI|New Yorkbased	Japans Softbank|Ola|Snapdeal|IndiaOnline|Sequoia and Tiger Global|National Association of Software and Services Companies|HindiStartup|Life Insurance Corporation|Apple|taxihailing app|agoSoftbank|Facebook Inc Google Inc|Flipkart	highlighted|delhi|handful|gains|apple|auditorium|encourage|economy|china|exemptions
thenews	2016-01-16T00:00:00			Chipotle Mexican Grill Inc|the ICR Conference|WednesdayChipotle	confident|hold|food|employees|chipotle|chain|hours|grill|future|feb
thenews	2016-01-16T00:00:00	Masood Hashmi Muhammad Azfar Ahsan Lucas|Peter Anis H Younus|KarachiNiaz	MarketersIn	Marketing amp Advertising|KARACHI Marketing Association|Marketing Association|China Mobile Pakistan Limited  ZONG|SpeakerProgram|ZONG	china|ceos|ceo|azfar|attended|association|anis|amp|ahsan|advertising
thenews	2016-01-17T00:00:00		Pakistan	provincesThe|ISLAMABAD International Monetary Fund IMF|IMF	condition|ensuring|economic|countrys|federation|appreciated|better|borrowingshe|bring|budget
thenews	2016-01-18T00:00:00	Ahsan Iqbal|Khurram Dastgir Khan	ISLAMABAD|Islamabad|China|Pakistan	PakistanAddressing the Conference Minister for Planning and Development|the Board of Investment and Trade Development Authority|CPEC|Ministry of Commerce|Commerce|ChinaHe|PakistanChina Business Friendship Conference	attract|businessmen|chinese|countries|corridor|conference|collaboration|chinahe|attended|authority
thenews	2016-01-18T00:00:00	Brent|SundayIn|Richard Nephew|Frederic Neumann	Hong Kong|Tehran|US|Asia|the United States|Iran	SINGAPORE Oil|MondayIrans|UN|ANZ|Economic Statecraft Sanctions and Energy Markets|OPEC|Asian Economics Research	day|demand|braced|chronic|cohead|curtail|data|deputy|downside|addedtrading
thenews	2016-01-19T00:00:00	Brent|MondayIn|Martin Luther King|Louis Kuijs	Tokyo|Japan|Tehran|Hong KongWe|DayThe|Asia|Chinas|increaseThe	Chinarelated|AsiaPacific|Tokyos Nikkei|Oxford Economics|percentVolatile Shanghai|marketInternational	asia|biggest|earlier|commoditylinked|flat|amid|dipping|added|figures|fears
thenews	2016-01-20T00:00:00	safehaven	Chinas|US|Beijing	MANILA Gold|The International Monetary Fund|The US Mint|American Eagle	draw|blow|deep|gold|fresh|asian|assets|drown|economic|century
thenews	2016-01-21T00:00:00	Brent|safehaven|Hiroki Allen|Kathy Lien	Japan|Hong Kong|New YorkEmerging|US|TOKYO	AsiaPacific|Japans Nikkei|CSI|Expectations|BK Asset Management|the US Federal Reserve|the European Central Banks|ECB	asset|ahead|brunt|ecb|countries|allen|damage|euro|broadest|brent
thenews	2016-01-22T00:00:00	Wang TaoInternational|Brent	East Coast|North America|Europe|weakerthanusual|US|Germany|Atlantic	SINGAPORE Oil|the US Energy Information Administration|Reuters|West Texas Intermediate|saidAnalysts|ANZ|EIA	coast|falling|costs|cold|follows|atlantic|barrels|gmt|analysts|administration
thenews	2016-01-25T00:00:00	Brent|Wang Tao	SEOUL|Washington|US|New York|the US East Coast|Philadelphia	areasAsian|Baker Hughes|ANZ	demand|anz|crudelow|heating|dollar|east|betting|barrel|analyst|data
thenews	2016-01-25T00:00:00	Gary Huxtable|Brent LCOc	Japan|East coast|fouryear|Europe|US|TOKYO|North America|weekShanghai	Treasury|the Federal Reserve|AsiaPacific|Bank of Japan|USYTRR|the European Central Bank|Tokyos Nikkei|Atlantic Pacific|FridayThe Australian|the Bank of Japan|Dow|BarclaysRisk|Fed|BOJ|Jan Investors|SampP	adviser|away|distance|america|bias|flighttoquality|australian|banks|fed|contracts
thenews	2016-01-26T00:00:00	Edward Meir|Brian Lan|safehaven	Singapore|US	the Federal Reserve|GoldSilver Central|Reuters|Federal Open Market Committee|INTL|the US Federal Reserve|Fed|MANILA Gold|Volkswagen|Platinum	boosting|benefits|crude|draw|appetite|downward|delivery|fcstone|falling|demandspot
thenews	2016-01-28T00:00:00	Brent|Tom Porcelli	furtherThe|Russia|Japan|Europe|US|Asia|New Zealand	the safehaven yen|the Federal Reserve|AsiaPacific|RBCCMInstead|poundAnnual economic|Japans Nikkei|Boeing|the Reserve Bank of New Zealand|Dow|Nasdaq|Sterling|Shanghais Composite|Fed|OPEC|SampP	barrel|door|bounce|assets|august|boeing|composite|commentary|dealers|dollar
thenews	2016-01-29T00:00:00		Pakistan	State Bank|KARACHI|SBP	ending|banks|debt|dollars|decreased|declined|compared|billion|bank|account
thenews	2016-01-30T00:00:00			PIA|the national flag carrierExpenditures of|Islamabad Pakistan International Airlines PIA	employeesa|demands|day|avoid|added|employees|delays|confidence|close|carrierexpenditures
thenews	2016-01-30T00:00:00	Sharif|Mian Amir Mehmood|Saudi ArabiaIt|Nawaz Sharif	Iran|Karachi	highspeeddiesel HSD|the Oil and Gas Regulatory Authority|LAHORE	father|february|defuse|effect|cars|action|itthe|condolences|going|demise
thenews	2016-01-31T00:00:00	Nawaz Sharif		ISLAMABAD The Oil and Gas Regulatory Authority	fixed|february|effective|component|bringing|blending|government|gas|diesel|authority
thenews	2016-02-01T00:00:00	Asif Bajwa|Ashraf Mahmood Wathra	Pakistan	MondayThe|JulyJanuary|the Bureau of Statistics|DecemberThe|State Bank|ISLAMABAD|monthonmonth	asif|announcement|central|ashraf|annual|announced|bureaus|bureau|benchmark|basis
thenews	2016-02-01T00:00:00	Brent|Masafumi Yamamoto|Cliff Tan	China|Japan|HONG KONG|Shenzhen|twoyear|sixweek|Europe|US|Asia|Shanghai|Chinas	AugustOctober|AsiaPacific|MarchThe|quarterIn|the Bank of Japans|CSI|Thomson ReutersCore Commodity|Mizuho Securities|ANZ|the European Central Bank ECB|JanuaryAustralia|the US Federal Reserve|lossThe Bank of Japan|BOJ|Bank of TokyoMitsubishi|barrelStill|ECB|Federal Fund	ago|boj|fridaythe|asian|gradually|bank|asiapacific|cautious|central|federal
thenews	2016-02-02T00:00:00	Edward Meir|Stanley Fischer|Meir	US|safehaven|China	Feds|SPDR Gold Trust|Federal Reserve|INTL|ScotiaMocatta|clientsWhatever|MANILA Gold|GMTA	assets|analystsus|failed|best|force|edged|activity|fell|feds|desperate
thenews	2016-02-04T00:00:00	Herald Finger|DubaiIshaq Dar|Ishaq Dar	Pakistan	ISLAMABAD The International Monetary Fund|th Review|the EFF Extended Fund Facility|IMF|International Monetary Fund	eff|billion|extended|completed|adds|agoafter|agreed|agreement|approvalonce|arrangement
thenews	2016-02-05T00:00:00	Brent	SINGAPORE|US	FridayBMI Research|worldCommodities|Marex Spectron|Q Morgan Stanley|regionInternational|Fitch Group|Morgan Stanley	chinas|high|extremely|contributing|cuts|driving|clashed|continued|brokerage|demandrebalancing
thenews	2016-02-08T00:00:00	Ali alNaimi|Evan Lucas|Arabias|noteThere|Brent|Takuya Takahashi|Bill Adams	China|Japan|Hong Kong|Melbourne|US|TOKYO|North Koreas|Singapore|Chinas	the Commodity Futures Trading Commission|PNC Financial Services Group|Fed|AsiaPacific|Reuters|the central bank|the Federal ReserveSpeculators|LCOc|OctoberThe|IG|The Nasdaq Composite|Daiwa SecuritiesJapanese|whileUS|middayWe|The Peoples Bank of China|SPABut|OPEC	alnaimi|adams|amountjapans|century|barrel|deciding|coming|global|basket|ali
thenews	2016-02-09T00:00:00	Ahsan Iqbal|Ali Jinnah|Ishaq Dar|Mohammad Ishaq Dar|Jim Yong Kim|Iqbal|addedIshaq Dar	US|TuesdayFinance|China|Pakistan	sectorKim|the World Bank|WB|ISLAMABAD World Bank Group|Unity Faith and Discipline|Benazir Income Support Program BISP	adding|china|did|field|game|economy|billion|cpec|added|best
thenews	2016-02-09T00:00:00	Ahmad Jawad	ISLAMABAD|Pakistan	Kinnow|the Middle EastHe	chairman|easthe|export|fpcci|events|ahmad|away|ban|committee|created
thenews	2016-02-09T00:00:00	Jim Yong Kim	Pakistan	ISLAMABAD World Bank	enhance|economy|country|government|good|fast|economic|countrys|climate|business
thenews	2016-02-09T00:00:00	Parisbased IEA	LONDON|safehaven|US	IEA|IEA saidThe|the International Energy Agency|OPEC|millionbpd	conditions|coordinates|absorb|coordinated|chances|collapsed|billion|decline|followed|build
thenews	2016-02-09T00:00:00	Edward Meir|Michael McCarthy	US|threemonth|China|Asia	Palladium|INTL|the US Federal Reserve|CMC Markets|MANILA Gold|Platinum	briefly|asia|dollar|edged|conditions|face|edward|funds|china|highest
thenews	2016-02-10T00:00:00		Kuwait|Oman|Switzerland|Australia|Canada|Japan|Norway|Qatar|Saudi Arabia United Arab Emirates|United Kingdom|Bahrain|United States of America	European Union|KARACHI	countries|countrywise|compared|canada|bahrain|december|billion|australia|arabia|arab
thenews	2016-02-10T00:00:00	Danyal Gilani	Toronto|Manchester|London|Oslo|RsHe	ISLAMABAD|PIA|IslamabadKarachi|Umrah	farespia|airline|fares|domestic|danyal|announced
thenews	2016-02-10T00:00:00	Shahid Khaqan Abbasi|Emir|Tamim bin Hamad bin Khalifa Al Thani|Nawaz Sharif	Doha|Qatar|ISLAMABAD|WednesdayThe|Pakistan	Memorandum of Understandings MoUs|Petroleum and Natural Resources|LNG|Radio	doha|diverse|agreements|countriesprime|cooperation|chairman|ceremony|bin|bilateral|annually
thenews	2016-02-10T00:00:00	Shinichiro Kadota|Yellen|Steven Englander|Janet Yellens	China|Japan|breatherThe|Europe|US|TOKYO	the safehaven yen|AsiaPacific|TuesdayConcerns|Japans Nikkei|Barclays in JapanThe euro|weaknessAfter|Feds|Federal Reserve|FX|US Treasury|Fed	bank|asian|commodities|broader|dropping|insist|gold|breatherthe|federal|barrel
thenews	2016-02-11T00:00:00	Gul|Nawaz Sharif|Shahid Khaqan Abbasi|Sui Southern|Agha Gul	Qatar|Pakistan	Memorandum of Understanding MoU|QatarIn|VOA|issueHe|usersAbbasi|Radio TV|LNG|Petroleum and Natural Resources|ISLAMABAD	buying|facing|country|achievements|dealhe|general|energy|cooperation|comment|carrying
thenews	2016-02-11T00:00:00	Cushing|Brent|Brents|Phillip FuturesThe	China|Cushing Oklahoma|Japan|US|Asia|Chinas|Singaporebased	Chinas New Year|SINGAPORE Oil|clientsThe|LCOc|Energy Information Administration EIA|New Yorks Informa Global Markets|Goldman Sachs|saidWe|addedChart	addedchart|centsus|clientsthe|cents|barrels|activity|crude|demand|grows|day
thenews	2016-02-12T00:00:00	Janet Yellen|Yuichi Ikemizu	SINGAPORE|US	Treasury|Standard Bank|TokyoJeffrey Gundlach|SPDR Gold Trust|Federal Reserve|MSCIs global stock|ANZ|monthsTotal|Fed|DoubleLine Capital	biggest|banksfor|exchange|climbed|federal|flow|best|completely|doubleline|gmtwe
thenews	2016-02-13T00:00:00	Nawaz SharifThe|Ishaq Dar		ISLAMABAD|Benazir Income Support Program BISP|BISP	consumer|benazir|accordance|enhanced|eighteen|effect|decision|dar|contribute|consultation
